Project,Day,Month,Year,Headline,URL,Source,Country,Language,Format,Format2,IsBroken
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Tieteen Kuvalehti,Finland,Finnish,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Illustrierte Wissenschaft,Germany,German,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Science Illustrated,Greece,Greek,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Lifandi Vísindi,Iceland,Icelandic,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Ilustrētā Zinātne,Latvia,Latvian,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Iliustruotasis mokslas,Lithuania,Lithuanian,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Illustrert Vitenskap,Norway,Norwegian,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Science Illustrated (Slovenia),Slovenia,Slovenian,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Illustrerad Vetenskap,Sweden,Swedish,Print,,
OSS,9,10,2014,"""Protesen känns en vanlig arm""",,Metro,Sweden,Swedish,Print,,
OSS,9,10,2014,"""Próteses aumentam liberdade de movimento""",,Correio Braziliense – Saúde,Brazil,Portuguese,Print,,
OSS,3,11,2014,"""Science will save the world""",,VRT,Belgium,Dutch,Video/TV,,
OSS,1,5,2015,"""S-höjdaren som ska lyfta Företagssverige""",,Dagens Industri Weekend,Sweden,Swedish,Print,,
OSS,,,2012,"""Tankestyrd protes för amputerade""",,Chalmers magasin,Sweden,Swedish,Print,,
OSS,1,12,2012,"""Tankestyrd protes förändrar livet för amputerade""",,KFanytt,Sweden,Swedish,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Illustreret Videnskab,Denmark,Danish,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Wetenschap in Beeld,Netherlands,Dutch,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Science Illustrated (USA),USA,English,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Science Illustrated (Australia),Australia,English,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Imeline Teadus,Estonia,Estonian,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Tieteen Kuvalehti,Finland,Finnish,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Illustrierte Wissenschaft,Germany,German,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Science Illustrated,Greece,Greek,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Lifandi Vísindi,Iceland,Icelandic,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Ilustrētā Zinātne,Latvia,Latvian,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Iliustruotasis mokslas,Lithuania,Lithuanian,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Illustrert Vitenskap,Norway,Norwegian,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Science Illustrated (Slovenia),Slovenia,Slovenian,Print,,
OSS,,,2013,"""Titanium arm is close to a real arm"", Nr. 8/2013:9. ",,Illustrerad Vetenskap,Sweden,Swedish,Print,,
OSS,1,3,2013,"""Transmissão de pensamento""",,Correio Braziliense - Ciência,Brazil,Portuguese,Print,,
PLP,1,1,2014,"""Virtuell arm botar fantomsmärtor""",,Clamers magasin,Sweden,Swedish,Print,,
OSS,8,10,2014,""" Bionic Hands Mimic Human Control With Sensation of Touch",https://www.bloomberg.com/news/articles/2014-10-08/bionic-hands-mimic-human-control-with-sensation-of-touch,Bloomberg,International,English,Online,,
OSS,1,1,2014,2012: A year in technology,https://newatlas.com/2012-technology-review/25590/,New Atlas,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://medkit.info/2018/09/06/a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment/,Medicine News Line,International,English,Online,,Broken
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://www.brightsurf.com/news/article/090618464897/a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment.html,Brightsurf,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,http://healthmedicinet.com/i/a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment/,Health Medicine Network,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://udaipurkiran.com/a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment/,Udaipur Kiran,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://www.eurekalert.org/pub_releases/2018-09/cuot-ant090518.php,EurekAlert!,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://www.sciencedaily.com/releases/2018/09/180906082022.htm,Science Daily,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://www.enn.com/articles/55345-a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment,ENN,International,English,Online,,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://neurosciencenews.com/phantom-limb-treatment-9810/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+neuroscience-rss-feeds-neuroscience-news+%28Neuroscience+News+Updates%29,Neuroscience News,International,English,Online,Video/TV,
PLP,6,9,2018,A New Theory for Phantom Limb Pain Points the Way to More Effective Treatment,https://medicalxpress.com/news/2018-09-theory-phantom-limb-pain-effective.html,Medical Xpress,International,English,Online,,
OSS,6,2,2019,A UNA DONNA LA PRIMA MANO BIONICA,http://opinione.it/hi-tech/2019/02/06/redazione_mano-bionica-interveno-detop-cipriani-santanna-pisa-sassu/,I'Opinione,Italy,Italian,Online,,
PLP,6,9,2018,AI And AR System Offers New Effective Treatment For Phantom Limb Pain,https://interestingengineering.com/ai-and-ar-system-offers-new-effective-treatment-for-phantom-limb-pain,Interesting Engineering,International,English,Online,,
PLP,27,2,2014,Amputation: Virtueller Arm lindert Phantomschmerz,http://www.egadgets.ch/Amputation+Virtueller+Arm+lindert+Phantomschmerz/618135/detail.htm,Egadgets,Switzerland,German,Online,Video/TV,
OSS,5,2,2014,Amputee Successfully Feels Prosthetic Grip Strength Via Arm Electrodes,https://spectrum.ieee.org/tech-talk/biomedical/bionics/sensitive-prosthetic-hand-gets-a-grip?utm_source=techalert&utm_medium=email&utm_campaign=020614,IEEE Spectrum,International,English,Online,,
PLP,25,2,2014,Amputee's 'Phantom Limb' Pain Eased by Virtual Arm Technology,http://news.health.com/2014/02/25/amputees-phantom-limb-pain-eased-by-virtual-arm-technology/,Health,International,English,Online,,Broken
PLP,25,2,2014,Amputee's 'Phantom Limb' Pain Eased by Virtual Arm Technology,https://www.doctorslounge.com/index.php/news/hd/44765,DoctorsLounge,International,English,Online,,
PLP,25,2,2014,Amputee's 'Phantom Limb' Pain Eased by Virtual Arm Technology,http://www.philly.com/philly/health/topics/HealthDay685203_20140225_Amputee_s__Phantom_Limb__Pain_Eased_by_Virtual_Arm_Technology.html,Philly,International,English,Online,,Broken
OSS,13,10,2014,Amputees can now control artificial limbs with their minds,https://www.engadget.com/2014/10/13/mind-controlled-limbs/?ncid=rss_truncated&guccounter=1,Engadget,International,English,Online,Video/TV,
PLP,25,2,2014,Amputee's 'Phantom Limb' Pain Eased by Virtual Arm Technology,https://health.usnews.com/health-news/articles/2014/02/25/amputees-phantom-limb-pain-eased-by-virtual-arm-technology,HealthDay,USA,English,Online,,
PLP,10,11,2016,Aplicar la realidad aumentada en las prótesis mitiga el dolor fantasma,https://www.redaccionmedica.com/secciones/ingenieria/aplicar-la-realidad-aumentada-en-las-protesis-mitiga-el-dolor-fantasma-2943,Redacction Medica,Spain,Spanish,Online,,
PLP,25,2,2014,AR helps amputee experience first pain-free night in 48 years,http://www.wired.co.uk/news/archive/2014-02/25/phantom-limb-pain-cure,Wired,UK,English,Online,,Broken
PLP,16,12,2016,AR 虛擬肢體有助於平撫截肢的幻肢疼痛,https://technews.tw/2016/12/16/the-animated-body-parts-helping-cure-phantom-limb-pain/,TechNews,China,Chinese,Online,,
OSS,3,12,2012,Armprothese nutzt natürliche Gedankensteuerung,https://www.innovations-report.de/html/berichte/medizintechnik/armprothese-nutzt-natuerliche-gedankensteuerung-206583.html,Innovations Report,Germany,German,Online,,
OSS,1,12,2012,Armprothese nutzt natürliche Gedankensteuerung,http://www.pressetext.com/news/20121201004,Pressetext,Germany,German,Online,,
OSS,8,10,2014,Artificial arms get closer to the real thing,https://www.nature.com/news/artificial-arms-get-closer-to-the-real-thing-1.16111,Nature,International,English,Online,Video/TV,
OSS,28,11,2018,Artificial joint restores wrist-like movements to forearm amputees,https://www.eurekalert.org/pub_releases/2018-11/cuot-ajr112718.php,EurekAlert!,International,English,Online,,
OSS,28,11,2018,Artificial wrist could change the world of prosthetics,https://mashable.com/video/artificial-wrist-innovation/?europe=true,Mashable,International,English,Online,Video/TV,
PLP,26,2,2014,Augmented reality could help amputees with phantom limb pain,https://www.theverge.com/2014/2/26/5449544/augmented-reality-could-help-amputees-with-phantom-limb-pain,The Verge,International,English,Online,Video/TV,
PLP,,,2014,Augmented Reality steuert computergenerierte Gliedmaßen,http://medonline.at/2014/augmented-reality-steuert-computergenerierte-gliedmassen/,MedOnline,Austria,German,Online,,Broken
OSS,3,11,2014,Avsnitt Robotarm och kometlandning,http://www.svtplay.se/video/2446971/vetenskapens-varld/avsnitt-10-robotarm-och-kometlandning,SVT Vetenskapens Värld,Sweden,Swedish,Video/TV,,Broken
OSS,9,8,2015,Baribara,,NHK,Japan,Japanese,Video/TV,,
PLP,26,2,2014,behandlar fantomlemmarsmärta med dataspel,http://www.skanskan.se/article/20140226/TTINRIKES/302269976/1162/-/behandlar-fantomsmaumlrta-med-dataspel,Skånskan,Sweden,Swedish,Online,,Broken
OSS,25,9,2015,"Behind the secret life of materials - Bionic Bodies, Materials 4 a Sustainable Future  - The Film",https://www.youtube.com/watch?list=PLmQdDYjAqXUnAELE2EPNcDtuUA1lK-QVI&v=6v6S5wZAAig,The Secret Life of Materials,International,English,Video/TV,,
OSS,23,1,2015,"Bendix, A., ""Sansende proteser på vej til at blive en del af kroppen""",,Ingeniøren,Denmark,Danish,Print,,
OSS,9,10,2014,Bionic arm restores a sense of feeling,https://www.bbc.com/news/health-29538385,BBC News,International,English,Online,,
OSS,10,10,2014,Bionic arm restores sense of feeling,https://nation.com.pk/10-Oct-2014/bionic-arm-restores-sense-of-feeling,The Nation,International,English,Online,,
PLP,13,1,2018,Bionic Bodies part 1 of 2,https://www.abc.net.au/Radio/Podcastsnational/programs/scienceshow/bionic-bodies-part-1-of-2/9325268,ABC,Australia,English,Radio/Podcasts,Online,
OSS,9,10,2014,Bionic hands move close to human control with sensation of touch,https://nationalpost.com/news/bionic-hands-move-close-to-human-control-with-sensation-of-touch,National Post,International,English,Online,,
OSS,1,5,2013,"Blancard, L. ""Un prothése va restaurer le sens du toucher""",,Science & Vie,France,French,Print,,
OSS,14,10,2014,Brain controlled prosthetic arm,https://www.thenakedscientists.com/Radio/Podcastss/naked-scientists-Radio/Podcasts/will-climate-change-cost-earth,The Naked Scientists,International,English,Radio/Podcasts,Online,Broken
OSS,9,10,2014,Brazos biónicos permiten recuperar las funciones y el tacto a amputados,http://www.elmundo.es/ciencia/2014/10/09/543680af268e3e63668b457d.html,El Mundo,Spain,Spanish,Online,,
OSS,16,10,2014,Bylt­ing í stjórn­un gervi­handa,http://www.mbl.is/frettir/innlent/2014/10/16/bylting_i_stjornun_gervihanda/,MBL,Iceland,Icelandic,Online,Video/TV,
PLP,26,2,2014,Chalmers researchers develop a new method for the treatment of phantom limb pain,http://bulletin.sciencebusiness.net/news/76468/Chalmers-researchers-develop-a-new-method-for-the-treatment-of-phantom-limb-pain,Science Business,International,English,Online,,Broken
PLP,9,9,2018,Chalmers University professor develops new theory for origin of 'phantom limb pain',https://www.medicalnewser.com/2018/09/09/chalmers-university-professor-develops-new-theory-for-origin-of-phantom-limb-pain.html,Medical Newser,International,English,Online,,Broken
PLP,6,9,2018,Chalmers University professor develops new theory for origin of 'phantom limb pain',https://www.news-medical.net/news/20180906/Chalmers-University-professor-develops-new-theory-for-origin-of-phantom-limb-pain.aspx,News Medical,International,English,Online,,
OSS,14,11,2012,Chalmers utvecklar tankestyrd protes,http://www.nyteknik.se/nyheter/bioteknik_lakemedel/medicin_teknik/article3582796.ece,NyTeknik,Sweden,Swedish,Online,,
OSS,11,10,2014,Cientistas criam prótese de braço controlada por cérebro mais avançada,http://www.techtudo.com.br/noticias/noticia/2014/10/cientistas-criam-protese-de-braco-controlada-por-cerebro-mais-avancada.html,Tech Tudo,Brazil,Portuguese,Online,Video/TV,
PLP,26,2,2014,Combinação de tecnologias ajuda a aliviar dores de 'membros fantasma',https://oglobo.globo.com/sociedade/saude/combinacao-de-tecnologias-ajuda-aliviar-dores-de-membros-fantasma-11724707,O Globo,Brazil,Portuguese,Online,,
PLP,26,2,2014,Combinação de tecnologias ajuda a aliviar dores de 'membros fantasma',https://extra.globo.com/noticias/saude-e-ciencia/combinacao-de-tecnologias-ajuda-aliviar-dores-de-membros-fantasma-11724991.html,Extra,Brazil,Portuguese,Online,,
PLP,26,2,2014,Computerspiel gegen den Phantomschmerz,https://sciencev2.orf.at/stories/1734141/index.html,Science ORF,Austria,German,Online,,
OSS,1,5,2014,Controlling Cybernetic Machines with the Human Mind,http://www.technologytoday.us/columnPDF/Controlling_Cybernetic_Machines_with_the_Human_Mind.pdf,Technology Today,USA,English,Online,,
PLP,19,4,2017,Could gaming technology help relieve phantom limb pain?,http://www.irishnews.com/magazine/science/2017/04/19/news/could-gaming-technology-help-relieve-phantom-limb-pain--1002034,The Irish News,International,English,Online,,
PLP,6,3,2014,Crea mexicano sistema que cura el síndrome del miembro fantasma,http://www.invdes.com.mx/tecnologia-mobil/4162-crea-mexicano-sistema-que-cura-el-sindrome-del-miembro-fantasma,Investigación y Desarrollo,Mexico,Spanish,Online,,Broken
OSS,5,2,2019,CSEM: une main artificielle sensible et fonctionnelle,https://www.laliberte.ch/news-agence/detail/csem-une-main-artificielle-sensible-et-fonctionnelle/474252,La Liberté,France,French,Online,,
OSS,15,2,2015,DARPA：4年内推出具备触觉的机械手,https://www.csdn.net/article/2015-02-15/2823978-darpa-moving-forward-on-developing-prostheses-with-sense-of-touch,CSDN,China,Chinese,Online,,
PLP,26,2,2014,Dataarm tar bort fantomsmärta,http://www.gp.se/nyheter/goteborg/1.2292278-goteborgsforskare-ar-pa-vag-att-losa-fantomsmartor,Göteborg Posten,Sweden,Swedish,Online,,Broken
PLP,26,2,2014,Dataspel lindrar fantomsmärtor,https://www.di.se/artiklar/2014/2/26/dataspel-lindrar-fantomsmartor/,Dagens Industri,Sweden,Swedish,Online,,
PLP,26,2,2014,Datorspel minskar fantomsmärtor,https://www.falkopingstidning.se/artikel/66121/datorspel-minskar-fantomsmartor/,Falköpings Tidning,Sweden,Swedish,Online,,
PLP,26,2,2014,Datorspel minskar fantomsmärtor,http://www.skovdenyheter.se/artikel/66121/datorspel-minskar-fantomsmartor,Skövde Nyheter,Sweden,Swedish,Online,,
PLP,26,2,2014,Datorspel minskar fantomsmärtor,http://www.skaraborgslanstidning.se/artikel/66121/datorspel-minskar-fantomsmartor,Skaraborgs Läns Tidning,Sweden,Swedish,Online,,
PLP,26,2,2014,Datorspel minskar fantomsmärtor,http://www.vastgotabladet.se/artikel/66121/datorspel-minskar-fantomsmartor,Västgöta Bladet,Sweden,Swedish,Online,,
OSS,28,12,2012,De största upptäckterna 2012,https://www.svt.se/nyheter/vetenskap/de-storsta-upptackterna-2012,SVT Nyheter,Sweden,Swedish,Online,,
OSS,12,12,2014,De tio viktigaste forskningsnyheterna år 2014,http://www.dagensmedicin.se/artiklar/2014/12/12/immunterapi-mot-melanom-knep-andraplatsen/,Dagens Medicin,Sweden,Swedish,Online,,
OSS,30,11,2012,Découvrez la main bionique qui peut être contrôlée par la pensée,https://www.maxisciences.com/prothese/decouvrez-la-main-bionique-qui-peut-etre-controlee-par-la-pensee_art27753.html,Maxi Sciences,France,French,Online,Video/TV,
PLP,1,1,2015,"""Des Jeux contre les membre fantômes""",,Giphar Magazine,France,French,Print,,
PLP,1,10,2018,Desentrañando los misterios del dolor del miembro fantasma,https://hipertextual.com/2018/10/desentranando-misterios-dolor-miembro-fantasma,Hipertextual,Spain,Spanish,Online,,
OSS,,,2018,Diseño mexicano en suecia primera protesis con conexion directa a hueso nervios y musculos,http://www.invdes.com.mx/tecnologia-mobil/10624-disena-mexicano-en-suecia-primera-protesis-con-conexion-directa-a-hueso-nervios-y-musculos,Investigación y Desarrollo,Mexico,Spanish,Online,,Broken
OSS,25,4,2018,"Dr. Mouna: ""tricking the brain into accepting prosthetics as genuine""",https://www.tv4play.se/program/nyhetsmorgon/3968116,TV 4 Play,Sweden,Swedish,Video/TV,,
OSS,28,10,2014,"Eerste kunstarm direct gekoppeld aan bot, zenuwen en spieren",http://www.rtlnieuws.nl/economie/toekomstmakers/eerste-kunstarm-direct-gekoppeld-aan-bot-zenuwen-en-spieren,RTL Nieuws,Denmark,Danish,Online,Video/TV,
OSS,7,5,2019,Einzigartige High-Tech-Revolution - Prothesen Mit Fingerspizengefüh,https://www.youtube.com/watch?v=rD066gDKGDc,Galileo,Germany,German,Online,Video/TV,
OSS,21,10,2014,Elektroden verleihen neues Feingefühl,https://www.deutschlandfunk.de/handprothesen-elektroden-verleihen-neues-feingefuehl.676.de.html?dram:article_id=300953,Deutchlandfunk,Germany,German,Online,,
PLP,5,3,2014,Escucha La Mañana de 10 a 11,https://www.cope.es/archivo/programas/la-manana/audios/escucha-manana-20140305_285624,Cope España,Spain,Spanish,Radio/Podcasts,,
OSS,27,10,2013,"Fahl, H., ""I gränslandet mellan människa och maskin""",,Dagens Nyheter,Sweden,Swedish,Print,,
PLP,3,3,2014,Faire bouger un membre fantôme,https://www.lemonde.fr/sciences/article/2014/03/03/faire-bouger-un-membre-fantome_4376733_1650684.html?xtmc=max_ortiz_catalan&xtcr=1,LeMonde,France,French,Online,,
PLP,25,2,2014,Fantomsmärta lindrad efter 48 år,https://www.svt.se/nyheter/vetenskap/fantomsmarta-lindrad-efter-48-ar,SVT Nyheter,Sweden,Swedish,Online,,
PLP,2,12,2016,Fantomsmärtor lindras av virtuell verklighet ,https://www.dagensmedicin.se/artiklar/2016/12/02/fantomsmartor-lindras-av-virtuell-verklighet/,Dagens Medicin,Sweden,Swedish,Online,Video/TV,
PLP,26,2,2014,Fantosmärtor behandlas virtuellt,http://sverigesRadio/Podcasts.se/sida/avsnitt/329282?programid=412&playepisode=329282,Vetandets Värld,Sweden,Swedish,Radio/Podcasts,,Broken
PLP,3,11,2014,Fim da dor que não deveria existir,"http://www.correiobraziliense.com.br/app/noticia/eu-estudante/me_gerais/2014/03/11/me_gerais_interna,416803/o-fim-da-dor-que-nao-deveria-existir.shtml",Correio Braziliense,Brazil,Portuguese,Online,,Broken
PLP,8,3,2014,Fin de Semana,http://www.cope.es/player/Asi-fue-la-cuarta-hora-de-Fin-de-Semana-8-de-marzo&id=2014030814230001&activo=10,Cope España,Spain,Spanish,Radio/Podcasts,,
OSS,12,10,2014,First mind-controlled prosthetic arm can hold egg without smashing it (VIDEO),https://www.rt.com/news/195336-sweden-prosthetic-arm-feeling/,RT,International,English,Online,Video/TV,
OSS,14,3,2014,"First prosthesis in the world with direct connection to bone, nerves and muscles",https://www.sciencedaily.com/releases/2016/03/160314141412.htm?platform=hootsuite,Science Daily,International,English,Online,,
OSS,6,2,2019,First prosthetic hand with tactile sensations successfully implanted,https://www.theengineer.co.uk/prosthetic-hand-tactile-sensations/,The Engineer,UK,English,Online,Video/TV,
OSS,10,12,2018,Flex Your Wrist with the Help of Some Robotic Joints,https://www.machinedesign.com/motion-control/flex-your-wrist-help-some-robotic-joints,Machine Design,International,English,Online,Video/TV,
OSS,8,10,2014,Först i världen med robotarm,https://www.svt.se/nyheter/vetenskap/svensk-forst-i-varlden-med-robotarm,SVT Nyheter,Sweden,Swedish,Online,,
OSS,8,9,2015,Future Now,,Discovery Channel,International,English,Video/TV,,
OSS,6,12,2014,Futuremag,,ARTE (France),France,French,Video/TV,,
PLP,6,4,2016,"Futuremag, Emission #16",http://www.futuremag.fr/emission/emission-16,Arte (France),France,French,Video/TV,,Broken
PLP,6,4,2016,"Futuremag, Emission #16",http://www.futuremag.de/sendung/sendung-16,Arte (Germany),Germany,German,Video/TV,,Broken
PLP,20,3,2014,"Futuremag, Soigner l'esprit avec la réalité virtuelle ",http://www.dailymotion.com/video/x1vsoco_soigner-l-esprit-avec-la-realite-virtuelle-futuremag-arte_tv,Arte,France,French,Video/TV,,
PLP,3,11,2018,"GP.""Smartare proteser""",http://www.gp.se/ekonomi/s%C3%A5-kan-ai-f%C3%B6rvandla-v%C3%A5rden-1.10333887,Göteborg Posten,Sweden,Swedish,Print,Online,
OSS,17,11,2014,Han styr sin armprotes med sina tanker,http://www.tv4.se/efter-tio/klipp/han-styr-sin-armprotes-med-sina-tankar-3015022,TV 4 Malou efter tio,Sweden,Swedish,Video/TV,,Broken
OSS,6,4,2017,"Hearing, touch mediate sensations via osseointegraged prostheses",https://www.sciencedaily.com/releases/2017/04/170406102618.htm,Science Daily,International,English,Online,,
PLP,26,2,2014,"Henriksson, D., ""Unik terapi mot fantomsmärtor""",,Göteborg Posten,Sweden,Swedish,Print,,
OSS,27,2,2013,"Henriksson, D., ""Operationen lyckades""",,Göteborg Posten,Sweden,Swedish,Print,,
OSS,27,12,2012,"Henriksson, D., ""Protesen som tänker själv""",,Göteborg Posten,Sweden,Swedish,Print,,
OSS,,,2014,"Hericsson, P., ""Tanken styr protesen""",,Elektronic Tidningen,Sweden,Swedish,Print,,
PLP,15,4,2014,"Hochnadel, L., ""Myoelectric Signals, VR Ease Phantom Limb Pain""",,The O & P Edge,International,English,Print,,
OSS,1,1,2013,"Hochnadel, L., ""Technology advances to control osseointegrated prosthetic arms""",,The O & P Edge,USA,English,Print,,
PLP,26,2,2014,How Augmented Reality Can Relieve Phantom Limb Pain,http://www.emdt.co.uk/daily-buzz/how-augmented-reality-can-relieve-phantom-limb-pain?cid=nl.emdt03,EMDT,International,English,Online,,Broken
PLP,25,2,2014,How to get rid of phantom limb pain: Put it back to work,https://www.science20.com/news_articles/how_get_rid_phantom_limb_pain_put_it_back_work-130488,Science 2.0,International,English,Online,Video/TV,
PLP,3,3,2014,How video games and aumented reality could cure phantom limb pain,https://www.polygon.com/2014/3/3/5462508/phantom-pain-video-game-treatment,Polygon,International,English,Online,Video/TV,
OSS,4,11,2014,Human-machine interfaces expand the functionality of prosthetic limbs,https://www.nature.com/articles/nrneurol.2014.212,Nature Reviews Neurology,International,English,Online,,
OSS,12,12,2014,Immunterapi mot melanom knep andraplatsen,https://www.dagensmedicin.se/artiklar/2014/12/12/immunterapi-mot-melanom-knep-andraplatsen/,Dagens Medicin,Sweden,Swedish,Online,,
OSS,5,2,2019,"In una donna la prima mano bionica, impiantata in Svezia con tecnologia italiana",https://www.huffingtonpost.it/2019/02/05/in-una-donna-la-prima-mano-bionica-impiantata-in-svezia-con-tecnologia-italiana_a_23662063/,Huffpost,Italy,Italian,Online,Video/TV,
OSS,29,11,2018,Ingeniero mexicano diseña prótesis que restaura movimientos de la mano,https://noticieros.televisa.com/videos/ingeniero-mexicano-disena-protesis-restaura-movimientos-mano/,Televisa News,Mexico,Spanish,Online,Video/TV,
OSS,11,3,2016,Inventan primer prótesis con sensibilidad,https://www.youtube.com/watch?v=Xm5qBIzv4bM&feature=youtu.be,Andrea Jaramillo,Spain,Spanish,Video/TV,,
OSS,,,2013,"Issue #8, 2013:9",,Science Illustrated,International,English,Print,,
OSS,,,2013,Issue 5,,AT Today,UK,English,Print,,
OSS,31,1,2015,"Johansson, A., ""Medicinexport Lyfts in på banan""",,Göteborg Posten,Sweden,Swedish,Print,,
OSS,14,12,2012,"Karlsson, J., ""Tankestyrd protes förändrar""",,Electronik Norden,Sweden,Swedish,Print,,
OSS,28,11,2018,Konstgjord led ger amputerade rörelseförmåga tillbaka i handleden,https://www.forskning.se/2018/11/28/konstgjord-led-ger-amputerade-rorelseformaga-tillbaka-i-handleden/,Forskning,Sweden,Swedish,Online,Video/TV,
OSS,1,8,2019,Kropp och skruv växer ihop,,Handvändningen magazine,Sweden,Swedish,Print,,
OSS,14,12,2012,La première prothèse de bras robotisée contrôlée par la pensée,http://www.futura-sciences.com/magazines/high-tech/infos/actu/d/robotique-premiere-prothese-bras-robotisee-controlee-pensee-43369/,Futura Sciences,France,French,Online,Video/TV,
OSS,5,2,2019,La prima mano robotica impiantata per tutta la vita,https://www.wired.it/attualita/tech/2019/02/05/mano-robotica-impiantata/,Wired,Italy,Italian,Online,Video/TV,
